Date,Value,,,,,
405,17.5336,21.1597443,,,,
406,17.4451,21.95883,,,,
407,17.3217,21.3880577,,,,
408,17.1952,21.1597443,,,,
409,17.0837,20.81728,,,,
410,16.9418,20.36066,,,,
411,16.9476,19.7898865,,,,
412,16.9915,19.2191124,,,,
413,16.9254,19.2191124,,,,
414,16.9099,20.0181961,,,,
415,16.8545,19.2191124,,,,
416,16.9319,19.5615768,,,,
417,16.993,19.2191124,,,,
418,19.06,18.76249,,,,
419,19.8628,19.2191124,,,,
420,19.7928,19.5615768,,,,
421,20.0805,20.36066,,,,
422,20.4998,23.2145348,,,,
423,23.9388,30.52046,,,,
424,24.1713,20.36066,,,,
425,24.1814,20.0181961,,,,
426,24.2705,19.2191124,,,,
427,24.2514,18.4200249,,,,
428,24.2152,17.6209412,,,,
429,24.1697,17.16432,,,,
430,24.0976,16.5935459,,,,
431,24.1565,16.8218555,,,,
432,24.0508,17.16432,,,,
433,23.7838,17.6209412,,,,
434,23.4417,18.4200249,,,,
435,23.1122,18.4200249,,,,
436,22.7102,17.6209412,,,,
437,22.4233,17.6209412,,,,
438,22.1489,18.76249,,,,
439,22.0265,19.5615768,,,,
440,22.5364,19.2191124,,,,
441,23.0606,20.36066,,,,
442,23.1968,19.5615768,,,,
443,23.2241,20.0181961,,,,
444,23.1567,19.2191124,,,,
445,22.8217,19.2191124,,,,
446,23.6636,18.9908,,,,
447,23.6422,19.5615768,,,,
448,23.5916,19.7898865,,,,
449,23.5917,18.76249,,,,
450,23.4677,18.4200249,,,,
451,23.4202,18.1917152,,,,
452,23.2827,18.4200249,,,,
453,23.141,18.1917152,,,,
454,23.0471,14.5798225,,,,
455,22.8995,16.7579155,,,,
456,22.7492,15.6163673,,,,
457,24.1984,15.6163673,,,,
458,24.7611,14.81728,,,,
459,24.8008,20.4108772,,,,
460,24.6031,18.812706,,,,
461,25.2937,14.58897,,,,
462,25.252,14.81728,,,,
463,25.4264,15.95883,,,,
464,25.5963,15.3880577,,,,
465,26.0725,21.20996,,,,
466,26.6592,22.1232033,,,,
467,26.8041,20.75334,,,,
468,26.7836,21.20996,,,,
469,27.7075,22.922287,,,,
470,27.9316,26.11863,,,,
471,29.2389,25.557,,,,
472,29.1401,23.3789063,,,,
473,28.9007,24.0503,,,,
474,28.9252,31.59807,,,,
475,29.8085,27.6026421,,,,
476,29.7056,25.54785,,,,
477,29.8969,24.634613,,,,
478,29.8621,18.621,,,,
479,29.8898,17.54785,,,,
480,29.302,21.2008133,,,,
481,29.8006,23.9405327,,,,
482,32.431,22.6377,,,,
483,36.1208,27.868,,,,
484,38.3474,30.406,,,,
485,38.8301,29.7217,,,,
486,40.6792,31.934,,,,
487,51.3618,43.118576,,,,
488,56.853,58.41535,,,,
489,58.6622,58.56245,,,,
490,60.4306,60.5598,,,,
491,61.0117,60.56,,,,
492,73.4347,77.425,,,,
493,76.5582,80.967,,,,
494,81.7458,85.401,,,,
495,85.3344,87.83,,,,
496,84.1965,84.851,,,,
497,92.1677,94.839,,,,
498,90.2441,96.559,,,,
499,89.2275,85.687,,,,
500,90.6606,88.958,,,,
501,92.5153,89.321,,,,
502,91.5006,86.836,,,,
503,87.3133,80.532,,,,
504,84.3765,77.776,,,,
505,83.1734,64.1231,,,,
506,81.0285,64.46557,,,,
507,78.7433,73.027191,,,,
508,79.5797,77.93586,,,,
509,82.1627,80.218956,,,,
510,86.7109,111.269119,,,,
511,85.6998,135.241684,,,,
512,87.0973,136.383224,,,,
513,100.315,130.675476,,,,
514,96.1324,121.543076,,,,
515,96.0089,115.835327,,,,
516,93.5233,113.552231,,,,
517,90.1581,106.702927,,,,
518,93.0168,93.004318,,,,
519,94.4211,94.145874,,,,
520,106.234,113.552231,,,,
521,129.396,131.817032,,,,
522,147.268,172.6945,,,,
523,152.577,208.300888,,,,
524,159.706,161.49733,,,,
525,161.365,156.931137,,,,
526,173.494,183.186783,,,,
527,174.915,154.648026,,,,
528,171.154,171.771286,,,,
529,177.979,192.319183,,,,
530,178.803,219.716385,,,,
531,177.008,239.122742,,,,
532,180.364,301.90802,,,,
533,180.085,323.825653,,,,
534,176.397,318.34613,,,,
535,172.458,256.702423,,,,
536,166.611,290.9489,,,,
537,196.463,417.661,,,,
538,197.671,481.5878,,,,
539,192.61,295.5151,,,,
540,185.672,274.967224,,,,
541,178.597,248.711548,,,,
542,192.113,423.3687,,,,
543,184.785,279.533417,,,,
544,189.526,280.674957,,,,
545,186.406,349.167969,,,,
546,207.005,280.674957,,,,
547,211.229,304.647522,,,,
548,229.625,322.912323,,,,
549,243.103,254.4193,,,,
550,254.231,252.1362,,,,
551,276.429,281.816528,,,,
552,274.102,281.816528,,,,
553,264.481,248.711548,,,,
554,278.867,272.6841,,,,
555,278.343,269.25946,,,,
556,283.427,237.296051,,,,
557,299.339,352.592621,,,,
558,333.964,590.0351,,,,
559,344.356,456.4737,,,,
560,327.311,465.6061,,,,
561,339.545,490.7202,,,,
562,369.412,607.1583,,,,
563,409.777,492.653,,,,
564,401.394,459.8984,,,,
565,384.193,384.556,,,,
566,400.36,389.122253,,,,
567,410.363,451.9075,,,,
568,379.434,356.017273,,,,
569,356.572,360.5835,,,,
570,333.856,393.6884,,,,
571,310.075,384.556,,,,
572,296.051,493.0033,,,,
573,308.344,422.659,,,,
574,301.88,431.3596,,,,
575,308.825,411.953247,,,,
576,352.192,431.3569,,,,
577,366.743,422.69,,,,
578,362.673,511.2681,,,,
579,353.606,429.0765,,,,
580,340.528,422.2272,,,,
581,380.709,472.36,,,,
582,359.677,468.345642,,,,
583,342.074,422.6836,,,,
584,322.682,437.523743,,,,
585,306.517,390.2638,,,,
586,325.205,297.798218,,,,
587,320.354,329.761627,,,,
588,316.386,304.647522,,,,
589,301.61,277.2503,,,,
590,296.731,263.551727,,,,
591,306.462,276.108765,,,,
592,289.589,264.693268,,,,
593,275.236,379.989838,,,,
594,290.905,411.953247,,,,
595,272.332,389.122253,,,,
596,273.628,468.345642,,,,
597,362.68,486.6104,,,,
598,390.685,511.724548,,,,
599,398.382,428.936,,,,
600,456.873,522.25,,,,
601,492.012,472.652,,,,
602,483.621,512.8661,,,,
603,454.966,477.478,,,,
604,424.244,450.7659,,,,
605,412.989,393.6884,,,,
606,418.361,500.994141,,,,
607,386.467,352.592621,,,,
608,364.747,371.999,,,,
609,361.518,286.382721,,,,
610,371.318,378.8483,,,,
611,360.367,342.318665,,,,
612,361.316,316.063019,,,,
613,334.093,298.939758,,,,
614,372.795,431.3596,,,,
615,360.939,298.939758,,,,
616,371.347,316.063019,,,,
617,368.6,366.291229,,,,
618,345.274,399.3962,,,,
619,318.319,316.063019,,,,
620,295.293,308.072174,,,,
621,298.292,385.6976,,,,
622,309.149,398.254639,,,,
623,287.875,392.5469,,,,
624,266.019,320.6292,,,,
625,254.298,288.665833,,,,
626,238.573,246.428467,,,,
627,280.156,232.729858,,,,
628,256.875,257.615753,,,,
629,235.835,232.501648,,,,
630,216.816,208.529083,,,,
631,205.222,205.104462,,,,
632,195.331,221.086151,,,,
633,185.077,221.086151,,,,
634,177.168,176.565689,,,,
635,168.164,162.8671,,,,
636,156.151,168.574844,,,,
637,144.363,159.442444,,,,
638,134.862,146.885391,,,,
639,125.86,138.894531,,,,
640,118.654,137.752991,,,,
641,113.278,161.72554,,,,
642,108.148,142.319183,,,,
643,112.493,146.885391,,,,
644,109.201,178.62059,,,,
645,102.319,168.346634,,,,
646,98.7182,169.48819,,,,
647,92.483,166.063538,,,,
648,89.3412,163.780426,,,,
649,86.4893,178.62059,,,,
650,83.2488,174.054382,,,,
651,78.4111,160.355774,,,,
652,74.0233,138.666321,,,,
653,69.8859,123.826172,,,,
654,66.2078,112.410675,,,,
655,63.0784,106.702927,,,,
656,59.9751,107.844467,,,,
657,57.1637,107.844467,,,,
658,65.3913,103.278275,,,,
659,64.083,102.136719,,,,
660,60.8181,100.995178,,,,
661,57.809,99.853622,,,,
662,55.1224,97.570518,,,,
663,52.6243,96.42897,,,,
664,50.2936,98.712074,,,,
665,48.1434,89.579666,,,,
666,46.2139,86.040863,,,,
667,44.4938,86.040863,,,,
668,42.8368,83.07283,,,,
669,41.3343,77.365082,,,,
670,39.9055,75.081985,,,,
