Date,obs,Year,,,,,,,
9/24/2000,289.967224,,317.967224,297.967224,292.967224,289.967224,289.967224,,
9/25/2000,253.437622,,281.437622,261.437622,256.437622,253.437622,253.437622,,
9/26/2000,258.0038,,286.0038,266.0038,261.0038,258.0038,258.0038,,
9/27/2000,235.172821,,263.172821,243.172821,238.172821,235.172821,235.172821,,
9/28/2000,220.332642,,248.332642,228.332642,223.332642,220.332642,220.332642,,
9/29/2000,192.935455,,220.935455,200.935455,195.935455,192.935455,192.935455,,
9/30/2000,249.3967,,277.3967,257.3967,252.3967,249.3967,249.3967,,
10/1/2000,233.415,,261.415,241.415,236.415,233.415,233.415,,
10/2/2000,219.716385,,247.716385,227.716385,222.716385,219.716385,219.716385,,
10/3/2000,210.583984,,238.583984,218.583984,213.583984,210.583984,210.583984,,
10/4/2000,206.017792,,234.017792,214.017792,209.017792,206.017792,206.017792,,
10/5/2000,201.451584,,229.451584,209.451584,204.451584,201.451584,201.451584,,
10/6/2000,192.319183,,220.319183,200.319183,195.319183,192.319183,192.319183,,
10/7/2000,186.611435,,214.611435,194.611435,189.611435,186.611435,186.611435,,
10/8/2000,169.48819,,197.48819,177.48819,172.48819,169.48819,169.48819,,
10/9/2000,160.355774,,188.355774,168.355774,163.355774,160.355774,160.355774,,
10/10/2000,147.798737,,175.798737,155.798737,150.798737,147.798737,147.798737,,
10/11/2000,133.232529,,161.232529,141.232529,136.232529,133.232529,133.232529,,
10/12/2000,124.100128,,152.100128,132.100128,127.100128,124.100128,124.100128,,
10/13/2000,119.53392,,147.53392,127.53392,122.53392,119.53392,119.53392,,
10/14/2000,117.250824,,145.250824,125.250824,120.250824,117.250824,117.250824,,
10/15/2000,112.684631,,140.684631,120.684631,115.684631,112.684631,112.684631,,
10/16/2000,105.835327,,133.835327,113.835327,108.835327,105.835327,105.835327,,
10/17/2000,104.693771,,132.693771,112.693771,107.693771,104.693771,104.693771,,
10/18/2000,103.552231,,131.552231,111.552231,106.552231,103.552231,103.552231,,
10/19/2000,101.269119,,129.269119,109.269119,104.269119,101.269119,101.269119,,
10/20/2000,100.127579,,128.127579,108.127579,103.127579,100.127579,100.127579,,
10/21/2000,97.844467,,125.844467,105.844467,100.844467,97.844467,97.844467,,
10/22/2000,95.561371,,123.561371,103.561371,98.561371,95.561371,95.561371,,
10/23/2000,93.278275,,121.278275,101.278275,96.278275,93.278275,93.278275,,
10/24/2000,88.712074,,116.712074,96.712074,91.712074,88.712074,88.712074,,
10/25/2000,86.42897,,114.42897,94.42897,89.42897,86.42897,86.42897,,
10/26/2000,84.145874,,112.145874,92.145874,87.145874,84.145874,84.145874,,
10/27/2000,81.86277,,109.86277,89.86277,84.86277,81.86277,81.86277,,
10/28/2000,77.29657,,105.29657,85.29657,80.29657,77.29657,77.29657,,
10/29/2000,78.438118,,106.438118,86.438118,81.438118,78.438118,78.438118,,
10/30/2000,76.155022,,104.155022,84.155022,79.155022,76.155022,76.155022,,
10/31/2000,74.328537,,102.328537,82.328537,77.328537,74.328537,74.328537,,
11/1/2000,71.817131,,99.817131,79.817131,74.817131,71.817131,71.817131,,
11/2/2000,71.360512,,99.360512,79.360512,74.360512,71.360512,71.360512,,
11/3/2000,69.762337,,97.762337,77.762337,72.762337,69.762337,69.762337,,
11/4/2000,69.762337,,97.762337,77.762337,72.762337,69.762337,69.762337,,
11/5/2000,68.963249,,96.963249,76.963249,71.963249,68.963249,68.963249,,
11/6/2000,67.365082,,95.365082,75.365082,70.365082,67.365082,67.365082,,
11/7/2000,66.680153,,94.680153,74.680153,69.680153,66.680153,66.680153,,
11/8/2000,66.223534,,94.223534,74.223534,69.223534,66.223534,66.223534,,
11/9/2000,64.739517,,92.739517,72.739517,67.739517,64.739517,64.739517,,
11/10/2000,62.113953,,90.113953,70.113953,65.113953,62.113953,62.113953,,
11/11/2000,59.83085,,87.83085,67.83085,62.83085,59.83085,59.83085,,
11/12/2000,58.23268,,86.23268,66.23268,61.23268,58.23268,58.23268,,
11/13/2000,57.54775,,85.54775,65.54775,60.54775,57.54775,57.54775,,
11/14/2000,55.60712,,83.60712,63.60712,58.60712,55.60712,55.60712,,
11/15/2000,53.66648,,81.66648,61.66648,56.66648,53.66648,53.66648,,
11/16/2000,52.52493,,80.52493,60.52493,55.52493,52.52493,52.52493,,
11/17/2000,51.84,,79.84,59.84,54.84,51.84,51.84,,
11/18/2000,50.24183,,78.24183,58.24183,53.24183,50.24183,50.24183,,
11/19/2000,47.95873,,75.95873,55.95873,50.95873,47.95873,47.95873,,
